China Sklad SAFA,,
Треккод,Дата прибытие,Путь
YT8924175611531,10.09.2023,Авиа Урумчи
78364458275075,10.09.2023,Авиа Урумчи
73507426356106,10.09.2023,Авиа Урумчи
463096990303656,10.09.2023,Авиа Урумчи
JT5216409200175,10.09.2023,Авиа Урумчи
463098626897844,10.09.2023,Авиа Урумчи
78364458049415,10.09.2023,Авиа Урумчи
78364026594892,10.09.2023,Авиа Урумчи
463104444174808,10.09.2023,Авиа Урумчи
463095893592833,10.09.2023,Авиа Урумчи
9855502453053,10.09.2023,Авиа Урумчи
78364269196311,10.09.2023,Авиа Урумчи
777163222632905,10.09.2023,Авиа Урумчи
78718656741237,10.09.2023,Авиа Урумчи
78364283352612,10.09.2023,Авиа Урумчи
777163525522939,10.09.2023,Авиа Урумчи
JT5216874677283,10.09.2023,Авиа Урумчи
78364314805358,10.09.2023,Авиа Урумчи
777164361728145,10.09.2023,Авиа Урумчи
YT8925096568667,10.09.2023,Авиа Урумчи
463106633867243,10.09.2023,Авиа Урумчи
78364286515840,10.09.2023,Авиа Урумчи
JT5217403659633,10.09.2023,Авиа Урумчи
78364554614964,10.09.2023,Авиа Урумчи
78364373124364,10.09.2023,Авиа Урумчи
SF1616332360663,10.09.2023,Авиа Урумчи
463104364419760,10.09.2023,Авиа Урумчи
YT8925292003177,10.09.2023,Авиа Урумчи
YT8925292657615,10.09.2023,Авиа Урумчи
463095223409384,10.09.2023,Авиа Урумчи
YT8925026432174,10.09.2023,Авиа Урумчи
YT8925292373906,10.09.2023,Авиа Урумчи
JT0009223501351,10.09.2023,Авиа Урумчи
78365055262613,10.09.2023,Авиа Урумчи
78364599546094,10.09.2023,Авиа Урумчи
777164296434760,10.09.2023,Авиа Урумчи
YT8925320848879,10.09.2023,Авиа Урумчи
463094158427631,10.09.2023,Авиа Урумчи
777163537020071,10.09.2023,Авиа Урумчи
78365161022863,10.09.2023,Авиа Урумчи
YT8925207299336,10.09.2023,Авиа Урумчи
YT8925463269885,10.09.2023,Авиа Урумчи
777164388206338,10.09.2023,Авиа Урумчи
78364559113312,10.09.2023,Авиа Урумчи
JT5218054886353,10.09.2023,Авиа Урумчи
JT5218036779963,10.09.2023,Авиа Урумчи
JT5217999418156,10.09.2023,Авиа Урумчи
777164296154136,10.09.2023,Авиа Урумчи
78364909890483,10.09.2023,Авиа Урумчи
463095345377086,10.09.2023,Авиа Урумчи
777164246186015,10.09.2023,Авиа Урумчи
777163952850418,10.09.2023,Авиа Урумчи
JT5217918573896,10.09.2023,Авиа Урумчи
JT5217621249453,10.09.2023,Авиа Урумчи
JT5218015272554,10.09.2023,Авиа Урумчи
JT3044769977962,10.09.2023,Авиа Урумчи
773241692659427,10.09.2023,Авиа Урумчи
777163971527329,10.09.2023,Авиа Урумчи
777164054516521,10.09.2023,Авиа Урумчи
JT5217997561784,10.09.2023,Авиа Урумчи
JT5217956930715,10.09.2023,Авиа Урумчи
78364707836766,10.09.2023,Авиа Урумчи
777163838803276,10.09.2023,Авиа Урумчи
9855560083902,10.09.2023,Авиа Урумчи
YT7412817361337,10.09.2023,Авиа Урумчи
JT5217601810807,10.09.2023,Авиа Урумчи
YT8926149985198,10.09.2023,Авиа Урумчи
JT5217489679091,10.09.2023,Авиа Урумчи
777163905968085,10.09.2023,Авиа Урумчи
777163963401940,10.09.2023,Авиа Урумчи
YT8925425495857,10.09.2023,Авиа Урумчи
463104783894481,10.09.2023,Авиа Урумчи
78365136040486,10.09.2023,Авиа Урумчи
JT5217663200469,10.09.2023,Авиа Урумчи
78365116120683,10.09.2023,Авиа Урумчи
JT5217884042857,10.09.2023,Авиа Урумчи
JT5217663534294,10.09.2023,Авиа Урумчи
YT8926102364840,10.09.2023,Авиа Урумчи
78365509349712,10.09.2023,Авиа Урумчи
9855553361174,10.09.2023,Авиа Урумчи
YT8925482568929,10.09.2023,Авиа Урумчи
78720346831866,10.09.2023,Авиа Урумчи
78365463579917,10.09.2023,Авиа Урумчи
78365521973222,10.09.2023,Авиа Урумчи
9855504958644,10.09.2023,Авиа Урумчи
78365356105816,12.09.2023,Авиа Урумчи
777164871377727,12.09.2023,Авиа Урумчи
78365303831778,12.09.2023,Авиа Урумчи
JT5218182340199,12.09.2023,Авиа Урумчи
78365313108509,12.09.2023,Авиа Урумчи
JT5217474460896,12.09.2023,Авиа Урумчи
JT5218331422939,12.09.2023,Авиа Урумчи
78365304188233,12.09.2023,Авиа Урумчи
777164755279992,12.09.2023,Авиа Урумчи
463110047693664,12.09.2023,Авиа Урумчи
JT5218363711457,12.09.2023,Авиа Урумчи
463107604056496,12.09.2023,Авиа Урумчи
78365530467949,13.09.2023,Авиа Урумчи
JT5218744662726,13.09.2023,Авиа Урумчи
JT5217563009812,13.09.2023,Авиа Урумчи
JT5218304625827,13.09.2023,Авиа Урумчи
777164737815914,13.09.2023,Авиа Урумчи
78365523071180,13.09.2023,Авиа Урумчи
78365299240347,13.09.2023,Авиа Урумчи
78365429489224,13.09.2023,Авиа Урумчи
JT5218772968852,13.09.2023,Авиа Урумчи
78365638061768,13.09.2023,Авиа Урумчи
777164874189819,13.09.2023,Авиа Урумчи
JT5217555669164,13.09.2023,Авиа Урумчи
JT5218117232671,13.09.2023,Авиа Урумчи
777164672190585,13.09.2023,Авиа Урумчи
78365056800245,13.09.2023,Авиа Урумчи
463109376641288,13.09.2023,Авиа Урумчи
777164800251255,13.09.2023,Авиа Урумчи
78365054901256,13.09.2023,Авиа Урумчи
463094987178004,13.09.2023,Авиа Урумчи
9855516033538,13.09.2023,Авиа Урумчи
463094987239721,13.09.2023,Авиа Урумчи
JT5218595914044,15.09.2023,Авиа Урумчи
463109633241365,15.09.2023,Авиа Урумчи
463108652923247,15.09.2023,Авиа Урумчи
JT5219184832225,15.09.2023,Авиа Урумчи
JT5218456206273,15.09.2023,Авиа Урумчи
463112650097286,15.09.2023,Авиа Урумчи
463113815630423,15.09.2023,Авиа Урумчи
JT5219268705869,15.09.2023,Авиа Урумчи
JT5219274392389,15.09.2023,Авиа Урумчи
78366310622548,15.09.2023,Авиа Урумчи
78366005975646,15.09.2023,Авиа Урумчи
YT8926495949970,15.09.2023,Авиа Урумчи
78366248141749,15.09.2023,Авиа Урумчи
78365931629707,15.09.2023,Авиа Урумчи
78365800047330,15.09.2023,Авиа Урумчи
463110619651594,15.09.2023,Авиа Урумчи
YT7413259505783,15.09.2023,Авиа Урумчи
463111948952627,15.09.2023,Авиа Урумчи
777164627331041,15.09.2023,Авиа Урумчи
78365932392057,15.09.2023,Авиа Урумчи
78365765049647,15.09.2023,Авиа Урумчи
JT5218142112675,15.09.2023,Авиа Урумчи
78365753127659,15.09.2023,Авиа Урумчи
463110630402696,15.09.2023,Авиа Урумчи
78365522300826,15.09.2023,Авиа Урумчи
YT8925756883255,15.09.2023,Авиа Урумчи
463107294213860,15.09.2023,Авиа Урумчи
777164558462549,15.09.2023,Авиа Урумчи
YT8925700992725,15.09.2023,Авиа Урумчи
312234277903968,15.09.2023,Авиа Урумчи
8217501445101,15.09.2023,Авиа Урумчи
78365947830705,15.09.2023,Авиа Урумчи
SF1518902725105,15.09.2023,Авиа Урумчи
9855597185635,15.09.2023,Авиа Урумчи
78365692482608,15.09.2023,Авиа Урумчи
78365909828935,15.09.2023,Авиа Урумчи
78722431656939,18.09.2023,Авиа Урумчи
YT8926232800047,18.09.2023,Авиа Урумчи
777165557697944,18.09.2023,Авиа Урумчи
463115722385079,18.09.2023,Авиа Урумчи
YT8926413581912,18.09.2023,Авиа Урумчи
78366657612026,18.09.2023,Авиа Урумчи
463114660988866,18.09.2023,Авиа Урумчи
1241256302726,18.09.2023,Авиа Урумчи
463118670058631,18.09.2023,Авиа Урумчи
463116829908697,18.09.2023,Авиа Урумчи
JT5219199353193,18.09.2023,Авиа Урумчи
YT8926344909520,18.09.2023,Авиа Урумчи
78366089706665,18.09.2023,Авиа Урумчи
JT5218881153487,18.09.2023,Авиа Урумчи
78722017711158,18.09.2023,Авиа Урумчи
78722031730478,18.09.2023,Авиа Урумчи
1238004313326,18.09.2023,Авиа Урумчи
777165289425415,18.09.2023,Авиа Урумчи
YT8926287129890,18.09.2023,Авиа Урумчи
9855614720401,18.09.2023,Авиа Урумчи
JT5219310478335,18.09.2023,Авиа Урумчи
777165702651545,18.09.2023,Авиа Урумчи
YT8926622571980,18.09.2023,Авиа Урумчи
78366609968322,18.09.2023,Авиа Урумчи
78366506816081,18.09.2023,Авиа Урумчи
SF1670402169033,18.09.2023,Авиа Урумчи
78366097144890,18.09.2023,Авиа Урумчи
78366505040145,18.09.2023,Авиа Урумчи
463122573905962,20.09.2023,Авиа Урумчи
463118649446399,20.09.2023,Авиа Урумчи
1245464558326,20.09.2023,Авиа Урумчи
9855684688706,20.09.2023,Авиа Урумчи
SF1510114985784,20.09.2023,Авиа Урумчи
777166290845603,20.09.2023,Авиа Урумчи
JT3046071119374,20.09.2023,Авиа Урумчи
78367126077525,20.09.2023,Авиа Урумчи
JT5219716819665,20.09.2023,Авиа Урумчи
YT8926895562270,20.09.2023,Авиа Урумчи
JT5219983204302,20.09.2023,Авиа Урумчи
773242914923693,20.09.2023,Авиа Урумчи
463120962476268,20.09.2023,Авиа Урумчи
78367024597662,20.09.2023,Авиа Урумчи
463120708984349,20.09.2023,Авиа Урумчи
777165879772584,20.09.2023,Авиа Урумчи
YT8927477300389,20.09.2023,Авиа Урумчи
463122619027190,20.09.2023,Авиа Урумчи
463115890128004,20.09.2023,Авиа Урумчи
78365909291378,20.09.2023,Авиа Урумчи
463120467184321,20.09.2023,Авиа Урумчи
78366717387306,20.09.2023,Авиа Урумчи
JT5219451693634,20.09.2023,Авиа Урумчи
9855660406852,20.09.2023,Авиа Урумчи
463115737564264,20.09.2023,Авиа Урумчи
JT5219575243142,20.09.2023,Авиа Урумчи
JT5219586349522,20.09.2023,Авиа Урумчи
YT8926582088029,20.09.2023,Авиа Урумчи
777166172104773,20.09.2023,Авиа Урумчи
JT5219514856868,20.09.2023,Авиа Урумчи
JT5219740021391,20.09.2023,Авиа Урумчи
463115920306141,20.09.2023,Авиа Урумчи
463118884282114,20.09.2023,Авиа Урумчи
78367019939623,20.09.2023,Авиа Урумчи
463114080116980,20.09.2023,Авиа Урумчи
777166386520165,20.09.2023,Авиа Урумчи
78722483036422,20.09.2023,Авиа Урумчи
JT5220029446966,20.09.2023,Авиа Урумчи
9855659507979,20.09.2023,Авиа Урумчи
78722528492366,20.09.2023,Авиа Урумчи
777166317913640,20.09.2023,Авиа Урумчи
463119339816501,20.09.2023,Авиа Урумчи
463122680875064,20.09.2023,Авиа Урумчи
777165883419815,20.09.2023,Авиа Урумчи
YT8927264926006,20.09.2023,Авиа Урумчи
463118744784233,20.09.2023,Авиа Урумчи
777166124909196,20.09.2023,Авиа Урумчи
YT7414426721496,20.09.2023,Авиа Урумчи
463120707433236,20.09.2023,Авиа Урумчи
777165088044385,20.09.2023,Авиа Урумчи
78365840962121,20.09.2023,Авиа Урумчи
78366002344553,20.09.2023,Авиа Урумчи
9855627929102,20.09.2023,Авиа Урумчи
777165289298394,20.09.2023,Авиа Урумчи
JT5218508652317,20.09.2023,Авиа Урумчи
78365736438500,20.09.2023,Авиа Урумчи
SF1670439639428,20.09.2023,Авиа Урумчи
78365818631018,20.09.2023,Авиа Урумчи
78367456914164,24.09.2023,Авиа Урумчи
9855679032861,24.09.2023,Авиа Урумчи
78367292538611,24.09.2023,Авиа Урумчи
78367693270818,24.09.2023,Авиа Урумчи
