China Taj Logist авиа,,
Треккод,Дата прибытия в Душанбе,Путь
SF1442332848184Avia,23.07.2023,Авиа1
78706805619455,24.07.2023,Авиа1
SF1510523930330 AVIA,25.07.2023,Авиа1
120227188052,26.07.2023,Авиа1
78707373235431 AVIA,26.07.2023,Авиа1
78706909439751,26.07.2023,Авиа1
463027370434774 AVIA,26.07.2023,Авиа1
777155104511245,26.07.2023,Авиа1
5207933357824 AVIA-,27.07.2023,Авиа1
8917936148973,27.07.2023,Авиа1
5207737338036,27.07.2023,Авиа1
78356227060886-,31.07.2023,Авиа1
78708200698338-,31.07.2023,Авиа1
78356214152704-,31.07.2023,Авиа1
78356180969719-,31.07.2023,Авиа1
792869,03.08.2023,Авиа1
141787,03.08.2023,Авиа1
105769,03.08.2023,Авиа1
72705,03.08.2023,Авиа1
239897,03.08.2023,Авиа1
744829,03.08.2023,Авиа1
695615,03.08.2023,Авиа1
32524,03.08.2023,Авиа1
336261,03.08.2023,Авиа1
440355,03.08.2023,Авиа1
691297,03.08.2023,Авиа1
150559,03.08.2023,Авиа1
724252 Балх,03.08.2023,Авиа1
446605,03.08.2023,Авиа1
417120,03.08.2023,Авиа1
651808,03.08.2023,Авиа1
192620,03.08.2023,Авиа1
105533,03.08.2023,Авиа1
220727,03.08.2023,Авиа1
946457,03.08.2023,Авиа1
623141 ручной,03.08.2023,Авиа1
388912??????,03.08.2023,Авиа1
600868,03.08.2023,Авиа1
296903,03.08.2023,Авиа1
390601,03.08.2023,Авиа1
56769,03.08.2023,Авиа1
988741,03.08.2023,Авиа1
675378,03.08.2023,Авиа1
923065,03.08.2023,Авиа1
582260,03.08.2023,Авиа1
850220 Кинотеатр Ватан,03.08.2023,Авиа1
428486,03.08.2023,Авиа1
804766Адрес 9км Айни 354/кв 88 000771076 номром,03.08.2023,Авиа1
712514,03.08.2023,Авиа1
359416,03.08.2023,Авиа1
996836,03.08.2023,Авиа1
032973 84 мкр,03.08.2023,Авиа1
326829 9км айни 351,03.08.2023,Авиа1
482081,03.08.2023,Авиа1
"485532 тарафи 8 март , 886002352Мирзо турсунзода музей",03.08.2023,Авиа1
460556,03.08.2023,Авиа1
186464 Истад бо дигар заказо,03.08.2023,Авиа1
411342,04.08.2023,Авиа1
734509,04.08.2023,Авиа1
324783,04.08.2023,Авиа1
825455,04.08.2023,Авиа1
71765,04.08.2023,Авиа1
887745,04.08.2023,Авиа1
242336Истад бо дигар заказо,04.08.2023,Авиа1
420029,04.08.2023,Авиа1
98115,04.08.2023,Авиа1
801094,04.08.2023,Авиа1
258700,04.08.2023,Авиа1
615354 Бозори Балх,04.08.2023,Авиа1
859391--,04.08.2023,Авиа1
517456,04.08.2023,Авиа1
835514,04.08.2023,Авиа1
486275,04.08.2023,Авиа1
18128,04.08.2023,Авиа1
535088,04.08.2023,Авиа1
657943 Дарвозаи Чортут 988583470,04.08.2023,Авиа1
201255,04.08.2023,Авиа1
24598,04.08.2023,Авиа1
57980,04.08.2023,Авиа1
789856,04.08.2023,Авиа1
765517,04.08.2023,Авиа1
729214,04.08.2023,Авиа1
621160,04.08.2023,Авиа1
413516,04.08.2023,Авиа1
816489,04.08.2023,Авиа1
232352,04.08.2023,Авиа1
598271,04.08.2023,Авиа1
725444,04.08.2023,Авиа1
710030 профсоюз пеши лицейи президенти,04.08.2023,Авиа1
84765,04.08.2023,Авиа1
230186,04.08.2023,Авиа1
274498,04.08.2023,Авиа1
457980Жд вокзал Рудаки 4/1,04.08.2023,Авиа1
130982,04.08.2023,Авиа1
108326,04.08.2023,Авиа1
276360,04.08.2023,Авиа1
573522,04.08.2023,Авиа1
110648,04.08.2023,Авиа1
372680,04.08.2023,Авиа1
78357843200508,04.08.2023,Авиа1
JT5209164523013,10.08.2023,Авиа1
78709948180336,10.08.2023,Авиа1
773235687744485,10.08.2023,Авиа1
78357618191632,10.08.2023,Авиа1
777158251007729,10.08.2023,Авиа1
78709733266033,10.08.2023,Авиа1
JT5209859066188,10.08.2023,Авиа1
777158276707383,10.08.2023,Авиа1
773236058235565,10.08.2023,Авиа1
78358081990218,10.08.2023,Авиа1
JT5209769415178,10.08.2023,Авиа1
YT8919946904422,10.08.2023,Авиа1
2694,10.08.2023,Авиа1
78357698713836 истад бо дигар борхо,10.08.2023,Авиа1
777157533992760,10.08.2023,Авиа1
479617,10.08.2023,Авиа1
773235678199755,10.08.2023,Авиа1
JT5209109188439 истад бо борхои диггар,10.08.2023,Авиа1
78710058752608,10.08.2023,Авиа1
8368104 92 микр истад бо борхои дигар,10.08.2023,Авиа1
YT8919054758645,10.08.2023,Авиа1
JT5208099412305,10.08.2023,Авиа1
9855050426260,10.08.2023,Авиа1
53184,10.08.2023,Авиа1
JT5209963142962,10.08.2023,Авиа1
JT5209336017347,10.08.2023,Авиа1
777157342837668,10.08.2023,Авиа1
777157695974273,10.08.2023,Авиа1
78709585249525,10.08.2023,Авиа1
78709577899011,10.08.2023,Авиа1
73506008724554,10.08.2023,Авиа1
9855083384061 Асадулло гуломов 58 кв болои мост 103,10.08.2023,Авиа1
78358020583660,10.08.2023,Авиа1
78358220505110,10.08.2023,Авиа1
777158279908355,10.08.2023,Авиа1
777157437674009,10.08.2023,Авиа1
SF1517929692371,10.08.2023,Авиа1
YT7406148776650,10.08.2023,Авиа1
78358075753310,10.08.2023,Авиа1
9855040490054,10.08.2023,Авиа1
777157520416775,10.08.2023,Авиа1
YT8919871585394,10.08.2023,Авиа1
JT5209646542064 профысоюз литсей през,10.08.2023,Авиа1
9871886485051,10.08.2023,Авиа1
YT7406310280758 истад бо борхои дигар,10.08.2023,Авиа1
463049764252507,10.08.2023,Авиа1
433368761861345,10.08.2023,Авиа1
433364245429442,10.08.2023,Авиа1
78358172144823,10.08.2023,Авиа1
JT3040786406463,10.08.2023,Авиа1
78710158178266-- чавоб надод,10.08.2023,Авиа1
78358527276677,10.08.2023,Авиа1
777157530763779,10.08.2023,Авиа1
9855034041183,10.08.2023,Авиа1
JT5209137011380,10.08.2023,Авиа1
78357781734078,10.08.2023,Авиа1
JT5209380743339,10.08.2023,Авиа1
1292493235064,10.08.2023,Авиа1
773236335933263,10.08.2023,Авиа1
463041038927394,10.08.2023,Авиа1
JT5210562185830,10.08.2023,Авиа1
YT8919671574448,10.08.2023,Авиа1
463051681485853,11.08.2023,Авиа1
JT5209129296979,11.08.2023,Авиа1
78710038111216,11.08.2023,Авиа1
JT5209659085094,11.08.2023,Авиа1
YT8920699900632,11.08.2023,Авиа1
JT5210417398718,11.08.2023,Авиа1
9855128718205,11.08.2023,Авиа1
JT5210251271715,11.08.2023,Авиа1
777158126404045,11.08.2023,Авиа1
777157935420482,11.08.2023,Авиа1
JT5209498744612,11.08.2023,Авиа1
777157893441577,11.08.2023,Авиа1
78358286508007,11.08.2023,Авиа1
644014,11.08.2023,Авиа1
78357971482989,11.08.2023,Авиа1
78357836212546,11.08.2023,Авиа1
777157295244426,11.08.2023,Авиа1
463042835772879,11.08.2023,Авиа1
777157295243305,11.08.2023,Авиа1
YT8919307590798,11.08.2023,Авиа1
463048371920394,11.08.2023,Авиа1
JT5210647688260,11.08.2023,Авиа1
463048371890249,11.08.2023,Авиа1
78710187749493,11.08.2023,Авиа1
463050575064158,11.08.2023,Авиа1
78358496093577,11.08.2023,Авиа1
777157727267880,11.08.2023,Авиа1
777157643329819,11.08.2023,Авиа1
JT5210174598192,11.08.2023,Авиа1
463049151002809,11.08.2023,Авиа1
463041757434161,11.08.2023,Авиа1
463041550073939,11.08.2023,Авиа1
JT5209721813363,11.08.2023,Авиа1
777157617288570,11.08.2023,Авиа1
78358591568135,11.08.2023,Авиа1
78358726501071,11.08.2023,Авиа1
78359240028009,11.08.2023,Авиа1
78358656725401,11.08.2023,Авиа1
777157775014429,11.08.2023,Авиа1
78358559472024,11.08.2023,Авиа1
YT8920028917041,11.08.2023,Авиа1
78358513706198,11.08.2023,Авиа1
777157642333834,11.08.2023,Авиа1
78358653661500,11.08.2023,Авиа1
9855125647183,11.08.2023,Авиа1
777158120351862,11.08.2023,Авиа1
777158051605531,11.08.2023,Авиа1
463042861566186,11.08.2023,Авиа1
9855135343464,11.08.2023,Авиа1
777158305880107,11.08.2023,Авиа1
YT8920691293503,11.08.2023,Авиа1
JT5210214409409,11.08.2023,Авиа1
78358608019900,11.08.2023,Авиа1
78358494524663,11.08.2023,Авиа1
78359232763408,11.08.2023,Авиа1
YT8920720754803,11.08.2023,Авиа1
YT8919919425989,11.08.2023,Авиа1
78358425720930,11.08.2023,Авиа1
JT5210111087916,11.08.2023,Авиа1
463042054213523,11.08.2023,Авиа1
JT5208988163485,11.08.2023,Авиа1
78357786464744,11.08.2023,Авиа1
78357855919902,11.08.2023,Авиа1
777157333345540,11.08.2023,Авиа1
78358811211600,11.08.2023,Авиа1
YT8920537170148,11.08.2023,Авиа1
9855119463867,11.08.2023,Авиа1
78358344711933,11.08.2023,Авиа1
777157922447879,11.08.2023,Авиа1
78358002058868,11.08.2023,Авиа1
YT7406991597794,11.08.2023,Авиа1
